_id,address,total_count,other_count,pistol_count,revolver_count,rifle_count,shotgun_count,year,month,dow,neighborhood,council_district,ward,tract,public_works_division,police_zone,fire_zone,latitude,longitude
2833,"5TH AVE & GRAEME ST PITTSBURGH, PA 15222",1,0,1,0,0,0,2019,7,2,Central Business District,6,1,42003020100,6,2,1-3,40.441537815105,-80.0024970616601
2834,"1200 BLOCK SUPERIOR AVE PITTSBURGH, PA 15212",1,0,0,0,1,0,2019,7,3,Marshall-Shadeland,1,27,42003270400,1,1,1-14,40.4686608389274,-80.0272693268493
2835,"1100 BLOCK FAULKNER ST PITTSBURGH, PA 15204",1,0,0,1,0,0,2019,7,3,Sheraden,2,20,42003202200,5,6,1-16,40.4554461962209,-80.0626924620973
2836,"700 BLOCK PENN AVE PITTSBURGH, PA 15222",1,0,1,0,0,0,2019,7,4,Point Breeze,8,14,42003140600,3,4,3-14,40.4502961014695,-79.9055271749205
2837,"LIBERTY AVE & 7TH AVE PITTSBURGH, PA 15222",1,0,1,0,0,0,2019,7,4,Central Business District,6,2,42003020100,6,2,1-3,40.4430659535174,-79.9974877489295
2838,"LILLIAN ST & HARCOURT WAY PITTSBURGH, PA 15210",1,0,1,0,0,0,2019,7,4,Allentown,3,18,42003180300,5,3,4-21,40.4186906438832,-79.9968196322263
2839,"WASHINGTON BLVD & ALLEGHENY RIVER BLVD PITTSBURGH, PA 15206",1,0,1,0,0,0,2019,7,4,Highland Park,7,12,42003980100,2,5,3-15,40.4842769808723,-79.9078496292392
2840,"7300 BLOCK MONTICELLO ST PITTSBURGH, PA 15208",1,0,0,0,1,0,2019,7,4,Homewood North,9,13,42003130200,2,5,3-17,40.4588375462801,-79.8932531294066
2841,"DEARY ST & PAULSON AVE PITTSBURGH, PA 15206",1,0,0,1,0,0,2019,7,4,Lincoln-Lemington-Belmar,9,12,42003120300,2,5,3-15,40.4671164757668,-79.9058597312607
2842,"6700 BLOCK FRANKSTOWN AVE PITTSBURGH, PA 15208",1,0,1,0,0,0,2019,7,4,Homewood West,9,12,42003120700,2,5,3-17,40.458666406458,-79.908011866878
2843,"3000 BLOCK LANDIS ST PITTSBURGH, PA 15204",1,0,1,0,0,0,2019,7,4,,,,,,6,,,
2844,"300 BLOCK FERN ST PITTSBURGH, PA 15224",1,0,1,0,0,0,2019,7,5,Garfield,9,10,42003101600,2,5,3-4,40.4711733846134,-79.9335171226068
2845,"300 BLOCK 39TH ST PITTSBURGH, PA 15201",2,0,2,0,0,0,2019,7,5,Lower Lawrenceville,7,6,42003060300,2,2,3-3,40.465089849724,-79.9609417484938
2846,"FERRIS CT & MOHLER ST PITTSBURGH, PA 15221",1,0,1,0,0,0,2019,7,5,Homewood North,9,13,42003130100,2,5,3-17,40.4594023970088,-79.8871037444313
2847,"ARLINGTON AVE & HARTFORD ST PITTSBURGH, PA 15203",1,0,1,0,0,0,2019,7,5,Allentown,3,18,42003180300,5,3,4-5,40.4249186207681,-79.9901939890537
2848,"2900 BLOCK ZEPHYR AVE PITTSBURGH, PA 15204",1,0,1,0,0,0,2019,7,5,Sheraden,2,20,42003562500,5,6,1-16,40.4547846707882,-80.0520014330687
2849,"PERRYSVILLE AVE & LEGION WAY PITTSBURGH, PA 15214",1,0,1,0,0,0,2019,7,5,Perry South,6,26,42003261500,1,1,1-23,40.4714561247133,-80.008942803462
2850,"PROGRESS ST & MADISON AVE PITTSBURGH, PA 15212",1,0,1,0,0,0,2019,7,5,North Shore,1,23,42003563200,1,1,1-20,40.451051911805,-79.9958155568587
2851,"<100 BLOCK TRENT ST PITTSBURGH, PA 15219",1,0,1,0,0,0,2019,7,5,,,,,,2,,,
