Neighborhood,Population (2010),Miles of Major Roads,Total Street Miles,Street Density (st. mi/area sq. mi),Total Working Pop. (Age 16+) (2010),Commute to Work: Drive Alone (2010),Commute to Work: Carpool/Vanpool (2010),Commute to Work: Public Transportation (2010),Commute to Work: Taxi (2010),Commute to Work: Motorcycle (2010),Commute to Work: Bicycle (2010),Commute to Work: Walk (2010),Commute to Work: Other (2010),Work at Home (2010)
Stanton Heights,4601,2.15613307426144000000000000000000000000000000000,20.532787853368800000000000000000000000000000000000,27.935765786896300000000000000000000000000000000000,2468,0.714748784441,0.118719611021,0.126012965964,0.00283630470016,0.00810372771475,0.0190437601297,0.00850891410049,0.0,0.00202593192869
Strip District,616,5.162009684255320000000000000000000000000000000000,17.34038900177240000000000000000000000000000000000,28.5203766476519000000000000000000000000000000000,277,0.537906137184,0.191335740072,0.180505415162,0.0,0.0,0.0,0.0,0.0,0.0902527075812
Summer Hill,1051,4.9423942525022700000000000000000000000000000000000,12.67740855383530000000000000000000000000000000000,28.877923812836600000000000000000000000000000000,643,0.945567651633,0.0279937791602,0.0264385692068,0.0,0.0,0.0,0.0,0.0,0.0
Swisshelm Park,1361,2.038511705565020000000000000000000000000000000000000,8.542071342158810000000000000000000000000000000000,17.79598196283080000000000000000000000000000000000,710,0.695774647887,0.169014084507,0.0647887323944,0.0,0.0,0.030985915493,0.0295774647887,0.0,0.00985915492958
Terrace Village,3228,0.74319639063070100000000000000000000000000000000000000,7.410399702462630000000000000000000000000000000000,21.667835387317600000000000000000000000000000000000,1031,0.162948593598,0.0640155189137,0.451988360815,0.0,0.0,0.0,0.31231813773,0.0,0.00872938894277
Troy Hill,2714,2.395129936838410000000000000000000000000000000000000,13.6274097987891000000000000000000000000000000000000,29.624803910411000000000000000000000000000000000000,1370,0.650364963504,0.13795620438,0.0992700729927,0.0,0.0,0.0,0.0846715328467,0.0116788321168,0.0160583941606
Upper Hill,2057,0.76957903515090900000000000000000000000000000000000000,9.5689561904702800000000000000000000000000000000000,30.571745017476900000000000000000000000000000000,633,0.489731437599,0.13112164297,0.312796208531,0.0,0.0,0.0,0.042654028436,0.0236966824645,0.0
Upper Lawrenceville,2669,1.82784207420955000000000000000000000000000000000000,12.09054026012550000000000000000000000000000000000,29.853185827470500000000000000000000000000000000000,1163,0.567497850387,0.0541702493551,0.250214961307,0.0,0.0,0.0103181427343,0.0524505588994,0.0,0.0653482373173
West End,254,4.165862735674320000000000000000000000000000000000,7.0427874765615200000000000000000000000000000000000,35.2139373828076000000000000000000000000000000000,64,0.484375,0.171875,0.15625,0.0,0.1875,0.0,0.0,0.0,0.0
West Oakland,2604,1.255169053036480000000000000000000000000000000000000,6.491867191791780000000000000000000000000000000000,30.194731124612900000000000000000000000000000000,834,0.354916067146,0.00959232613909,0.220623501199,0.0,0.0,0.0,0.407673860911,0.00719424460432,0.0
Westwood,3066,2.4122089808463300000000000000000000000000000000,16.640214211533900000000000000000000000000000000000,24.0465523288063000000000000000000000000000000000,1563,0.630198336532,0.113883557262,0.128598848369,0.0,0.0115163147793,0.0,0.08701215611,0.0,0.0287907869482
Windgap,1369,1.0966880249952500000000000000000000000000000000000000,8.9222919597115000000000000000000000000000000000000,21.4994986981000000000000000000000000000000000000,567,0.599647266314,0.169312169312,0.179894179894,0.0,0.0,0.0,0.0,0.0511463844797,0.0
