DEC_LAT,DEC_LONG
40.2535,-79.262
40.2227,-79.2986
40.1406,-79.8909
40.3482,-79.6066
40.2498,-79.6935
,
40.2871,-79.5498
40.2873,-79.373
40.3241,-79.6098
40.3064,-79.5475
40.3185,-79.6824
40.3222,-79.6168
40.2889,-79.5284
40.3161,-79.6244
40.2501,-79.2183
40.3269,-79.7151
40.4271,-79.6985
40.2195,-79.6395
40.1341,-79.862
40.2865,-79.5697
40.3322,-79.7459
40.5703,-79.761
40.4544,-79.6206
40.4125,-79.6309
40.3166,-79.6863
40.1938,-79.1604
40.3049,-79.584
40.1366,-79.843
40.5147,-79.6073
40.3453,-79.7645
40.4676,-79.6586
40.5926,-79.743
40.298,-79.559
40.2192,-79.6025
,
40.2541,-79.6424
40.335,-79.6101
40.2749,-79.5493
40.3178,-79.6854
40.2027,-79.8372
40.5987,-79.687
40.2879,-79.5567
40.2627,-79.5656
40.2871,-79.5317
40.2451,-79.4637
40.5772,-79.5938
40.6286,-79.6466
40.5596,-79.7622
40.2003,-79.8353
40.3456,-79.7647
40.3096,-79.5
40.318,-79.521
40.2103,-79.701
40.3108,-79.5472
40.211,-79.7882
,
40.4101,-79.6969
40.286,-79.5334
40.4161,-79.4215
40.2221,-79.6046
40.2245,-79.6068
40.3485,-79.6874
40.3212,-79.6941
40.323,-79.7687
40.3549,-79.6086
40.5114,-79.6483
40.3116,-79.7003
40.1845,-79.8122
40.3093,-79.5068
,
40.3834,-79.6785
40.2922,-79.341
40.3046,-79.5082
40.1841,-79.8485
40.3663,-79.6747
40.3128,-79.3734
40.3422,-79.5857
40.1289,-79.4079
40.1508,-79.4294
,
40.301,-79.5541
40.102,-79.5951
40.1968,-79.5995
40.2856,-79.6673
40.3294,-79.6812
40.5857,-79.5973
40.3362,-79.5526
40.2603,-79.5709
40.1463,-79.3212
40.6228,-79.6059
40.5857,-79.7562
40.3063,-79.7268
40.2437,-79.4594
40.2772,-79.5987
40.3028,-79.5147
40.2845,-79.4284
40.1429,-79.8196
40.5519,-79.5891
40.5862,-79.7542
